id,year,exam,subject,number,answer,question,data
1,2023,경위,형사,1,4,죄형법정주의에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함),"죄형법정주의에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)①헌법재판소의 헌법재판은 법정이 아닌 심판정에서 이루어지므로 법정소동죄 등을 규정한 ｢형법｣ 제138조에서의 ‘법원의 재판’에 헌법재판소의 심판이 포함된다고 해석하는 것은 피고인에게 불리한 확장해석임과 동시에 유추해석이다. ②행위시에 없던 보호관찰규정이 재판시에 신설되어 법원이 이를 근거로 보호관찰을 명할 경우, 형벌불소급의 원칙 또는 죄형법정주의에 위배된다. ③처벌법규의 구성요건은 명확하여야 하므로 처벌법규의 구성요건이 다소 광범위하여 어떤 범위에서는 법관의 보충적인 해석을 필요로 하는 개념을 사용한다면, 이는 헌법이 요구하는 처벌법규의 명확성 원칙에 배치된다.④형을 종전보다 가볍게 형벌법규를 개정을 하면서 개정된 법의 시행 전의 범죄에 대하여 종전의 형벌법규를 적용하도록 부칙에 정하는 것은 형벌불소급의 원칙이나 신법우선주의에 반하지 아니한다."
2,2023,경위,형사,2,3,｢형법｣의 적용범위에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),"｢형법｣의 적용범위에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)① ｢형법｣은 범인의 국적과 범죄지 여하를 불문하고 우리나라 형벌법규를 적용하는 세계주의에 관한 조항을 두고 있다. ②백지형법의 보충규범인 고시가 변경된 경우 변경의 동기를 따져 ‘애당초 잘못된 것이었다’는 법이념상의 반성적 고려에 의한 것이 아닌 한, 그 고시가 변경되기 이전에 범하여진 위반행위에 대한 가벌성이 소멸되는 것은 아니다. ③ 범죄행위시와 재판시 사이에 여러차례 법령이 개정되어 형의 변경이 있는 경우에는 ｢형법｣ 제1조 제2항에 의하여 신법을 적용한다.④ 외국에서 집행된 형은 그것이 형의 전부집행이든 형의 일부집행이든 우리나라 법원이 선고하는 형에 반드시 산입하여야 한다."
3,2023,경위,형사,3,3,부작위범에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),"부작위범에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)①작위의무가 법적으로 인정되는 부진정부작위범이라 하더라도 작위의무를 이행하는 것이 사실상 불가능한 상황이었다면, 부작위범이 성립할 수 없다.② 하나의 행위가 부작위범인 직무유기죄와 작위범인 허위공문서작성죄 및 허위작성공문서행사죄의 구성요건을 동시에 충족하는 경우, 공소제기권자는 작위범인 허위공문서작성죄 및 허위작성공문서행사죄로 공소를 제기하지 아니하고 부작위범인 직무유기죄로만 공소를 제기할 수 있다.③진정부작위범은 미수 성립이 불가능하여 ｢형법｣에서는 미수범 처벌규정이 존재하지 않는 반면, 부진정부작위범은 미수 성립이 가능하다. ④ 부작위에 의한 살인에 있어서 작위의무를 이행하였다면 사망의 결과가 발생하지 않았을 것이라는 관계가 인정될 경우, 부작위와 사망의 결과 사이에 인과관계가 인정된다."
4,2023,경위,형사,4,2,인과관계에 대한 설명 중 옳은 것만을 모두 고른 것은? (다툼이 있는 경우 판례에 의함),"인과관계에 대한 설명 중 옳은 것만을 모두 고른 것은? (다툼이 있는 경우 판례에 의함)가.과실범의 독립행위가 경합하여 결과발생의 원인된 행위가 판명되지 아니한 때에는 각 행위자를 미수범으로 처벌한다. 나. ‘그러한 행위가 없었더라면 그러한 결과도 발생하지 않았을 것’이라는 자연과학적 인과관계를 판단의 척도로 삼는 조건설은 각 조건들을 결과에 대한 동등한 원인으로 간주하여 인과관계의 범위가 지나치게 확장된다는 비판을 받는다.다. 어느 행위로부터 어느 결과가 발생하는 것이 경험칙상 상당하다고 판단될 때 인과관계가 인정되는 상당인과관계설은 인과관계를 일상적인 생활경험으로 제한하여 형사처벌의 확장을 방지하는 장점이 있으나 ‘상당성’의 판단이 모호하여 법적 안정성을 해칠 우려가 있다는 비판을 받는다. 라. 甲에 의한 선행 교통사고와 乙에 의한 후행 교통사고로 A가 사망하였으나 사망의 원인된 행위가 밝혀지지 않은 경우, 乙의 과실과 A의 사망 간에 인과관계가 인정되기 위해서는 乙이 주의의무를 게을리하지 않았다면 A가 사망하지 않았을 것이라는 사실이 증명되어야 하고, 그 증명책임은 乙에게 있다. ① 가 ② 나, 다③ 가, 나, 다 ④ 나, 다, 라"
5,2023,경위,형사,5,4,결과적 가중범에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),"결과적 가중범에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)① 교통방해치사죄의 경우 결과발생에 대한 예견가능성은 일반인을 기준으로 객관적으로 판단해야 하므로 일반인의 관점에서 결과발생을 예견할 수 있었다면, 설령 행위자가 결과발생을 구체적으로 예견하지는 못하였다고 하더라도 실제로 발생한 사망의 결과에 대하여 교통방해치사죄가 성립한다.② 결과적 가중범에서 공동정범이 성립하려면 행위를 공동으로 할 의사가 있으면 족하고 결과를 공동으로 할 의사는 필요하지 않다.③ 부진정결과적 가중범에서 고의로 중한 결과를 발생하게 한 행위가 별도의 구성요건에 해당하고 그 고의범의 법정형이 결과적 가중범의 법정형보다 더 무겁게 처벌하는 규정이 없는 경우, 결과적 가중범이 고의범에 대하여 특별관계에 있으므로 결과적 가중범만 성립한다.④ 甲이 A를 강간하려고 폭행하던 중 양심의 가책이 들어 강간행위를 중지하였으나 그 강간행위로 인해 A에게 상해의 결과가 발생한 경우, 강간죄의 중지미수와 과실치상죄의 상상적 경합이 성립한다."
6,2023,경위,형사,6,2,착오에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),"착오에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)① 甲이 A를 살해하고자 골프채로 A의 머리를 내리쳐 A가 실신하자 사망한 것으로 오인하여 범행을 은폐하기 위해 A를 자동차에 싣고 근처 바닷가 절벽으로 가 던졌는데 실제로는 익사로 판명된 경우, 甲에게는 살인기수의 죄책이 인정된다. ②甲이 상해의 고의로 A의 머리를 벽돌로 내리쳐 A가 바닥에 쓰러진 채 실신하자 A가 사망한 것으로 오인하여 범행을 은폐하고 A가 자살한 것처럼 위장하기 위하여 A를 절벽 아래로 떨어뜨려 사망에 이르게 하였다면, 甲의 상해행위는 A에 대한 살인에 흡수되어 단일의 살인죄만 인정된다. ③ 甲은 옆집 개가 평소 시끄럽게 짖어 그 개에게 손괴의 고의로 돌을 던졌으나 마침 개가 있는 쪽으로 뛰어나온 어린아이를 맞춰 전치 2주의 상해를 입힌 경우, 구체적 부합설에 의하면 손괴죄의 미수범과 과실치상죄의 상상적 경합이 성립한다. ④甲이 乙에게 A에 대한 상해를 교사하여 乙이 이를 승낙하고 실행을 하였으나 A가 그 상해로 인해 사망한 경우, 甲에게 A의 사망에 대한 예견가능성이 인정된다면 상해치사죄의 교사범이 성립한다. (1) 甲은 친구 乙이 돈을 벌고 싶으면 통장과 체크카드를 넘겨달라고 하여 乙이 보이스피싱을 한다는 사실을 알면서 자신의 통장과 체크카드를 넘겨주었다. 여분의 체크카드를 가지고 있던 甲은 통장을 확인하던 중 1,300만 원이 입금된 사실을 확인하고 이를 모두 인출하여 임의로 소비하였는데, 이 돈은 乙로부터 기망당한 A가 송금한 것이었다. (2) 이후 甲은 승용차를 운전하다가 단속 중인 경찰관으로부터 운전면허증 제시를 요구받고 자신의 휴대전화기에 저장된 乙의 운전면허증을 촬영한 이미지 파일을 마치 자신의 운전면허증인 것처럼 제시하였다. (3) 집으로 돌아온 甲은 홧김에 평소 층간소음으로 다툼이 있던 B의 원룸을 향해 돌을 던져 창문을 깨버렸다. 그런데 마침 B는 주식투자 실패로 자살하려고 번개탄을 피워둔 채 실신해 있다가 창문이 깨지는 바람에 생명을 구하게 되었다.(4) 한편 밤에 퇴근하던 丙(女)은 모자를 푹 눌러쓰고 뒤따라오던 甲을 수상하게 여기던 중 우연히 이를 본 乙이 이번 기회에 甲을 혼내줄 생각으로 丙에게 “甲이 추행범이니 한 대 쳐버려!”라고 부추겼고, 이에 丙은 길을 묻기 위해 갑자기 자신의 앞을 가로막은 甲을 추행범으로 오인하고 자신을 방어할 생각으로 甲을 밀어 넘어뜨렸다."
7,2023,경위,형사,7,2,다음 사례에 대한 설명 중 옳은 것은 모두 몇 개인가? (다툼이 있는 경우 판례에 의함),"다음 사례에 대한 설명 중 옳은 것은 모두 몇 개인가? (다툼이 있는 경우 판례에 의함)가. (1)에서 甲에게는 횡령죄가 성립한다.나. (2)에서 甲에게는 공문서부정행사죄가 성립한다.다. (3)에서 甲에게 무죄가 성립한다는 견해에 대해서는 주관적 정당화요소가 있는 경우와 없는 경우 모두 똑같이 취급한다는 비판이 제기된다.라. (4)에서 엄격책임설에 의할 경우 丙의 오인에 정당한 이유가 있다면 丙은 무죄가 되고, 소극적 구성요건표지이론에 의할경우 乙에게 교사범이 성립할 여지가 없다.마. (1)의 사건을 수사하던 사법경찰관 P가 甲과 乙을 긴급체포한 후, 사건이 체포적부심에 계속되어 있던 중 乙의 변호인이 乙의 출석을 보증할만한 보증금을 납입한 경우, 법원은 결정으로 乙의 석방을 명할 수 있다 ①1개 ②2개 ③ 3개 ④ 4개"
8,2023,경위,형사,8,3,｢형법｣ 제20조(정당행위)에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),"｢형법｣ 제20조(정당행위)에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함)①구성요건에 해당하는 행위가 ｢형법｣ 제20조에 따라 위법성이 조각되려면, 첫째 그 행위의 동기나 목적의 정당성, 둘째 행위의 수단이나 방법의 상당성, 셋째 보호법익과 침해법익의 균형성, 넷째 긴급성, 다섯째 그 행위 이외의 다른 수단이나 방법이 없다는 보충성의 요건을 모두 갖추어야 한다. ②｢형법｣ 제20조에서 ‘사회상규에 위배되지 아니하는 행위’라 함은 국가질서의 존중이라는 인식을 바탕으로 한 국민일반의 건전한 도의적 감정에 반하지 아니한 행위로서 초법규적인 기준에 의하여 이를 평가하여야 한다. ③집행관이 조합 소유 아파트에서 유치권을 주장하는 甲을 상대로 부동산인도집행을 실시하여 조합이 그 아파트를 인도받고 출입문의 잠금장치를 교체하는 등으로 그 점유가 확립된 이후에 甲이 아파트 출입문과 잠금장치를 훼손하며 강제로 개방하고 아파트에 들어간 경우, 甲의 행위는 민법상 자력구제에 해당하므로 ｢형법｣ 제20조에 따라 위법성이 조각된다. ④｢민사소송법｣ 제335조에 따른 법원의 감정인 지정결정 또는 같은 법 제341조 제1항에 따라 법원의 감정촉탁을 받은 사람이 감정평가업자가 아니었음에도 그 감정사항에 포함된 토지 등의 감정평가를 한 행위는 법령에 근거한 법원의 적법한 결정이나 촉탁에 따른 것으로 ｢형법｣ 제20조에 따라 위법성이 조각된다."
9,2023,경위,형사,9,4,책임에 대한 설명 중 옳은 것만을 모두 고른 것은? (다툼이 있는 경우 판례에 의함),"책임에 대한 설명 중 옳은 것만을 모두 고른 것은? (다툼이 있는 경우 판례에 의함)가.책임비난의 근거를 행위자의 자유의사에서 찾는 도의적 책임론은 행위자책임을 형벌권 행사의 근거로 보기 때문에 책임무능력자에 대한 보안처분 부과를 옹호한다.나.사회적 책임론은 과거에 잘못 형성된 행위자의 성격에서 책임의 근거를 찾으므로 범죄는 행위자의 소질과 환경에 의해 결정된다고 이해한다. 다. 행위 당시 18세였던 甲이 제1심에서 부정기형을 선고받은 후 항소심 선고 이전에 19세에 도달한 경우, 항소심 법원은 甲에 대하여 정기형을 선고하여야 한다.라. ｢형법｣ 제10조에 규정된 심신장애는 정신병 또는 비정상적 정신상태와 같은 정신적 장애가 있는 외에 정신적 장애로 말미암아 사물에 대한 변별능력과 그에 따른 행위통제능력이 결여되거나 감소되었음을 요하므로 정신적 장애가 있는 자라고 하여도 범행 당시 정상적인 사물변별능력이나 행위통제능력이 있었다면 심신장애로 볼 수 없다. 마. 음주습벽이 있는 甲이 음주운전을 할 의사를 가지고 음주만취하여 심신상실상태에서 운전을 결행하여 부주의로 보행자 A를 충격하여 현장에서 즉사시키고 도주하였다면, 이는 음주시에 교통사고를 일으킬 위험성을 예견하였는데도 자의로 심신장애를 야기한 경우에 해당하므로 甲에 대한 형사처벌이 가능하다. ① 가, 다, 라②나, 라, 마③ 다, 라, 마④나, 다, 라, 마"
10,2023,경위,형사,10,2,｢형법｣상 예비죄에 대한 설명 중 옳지 않은 것만을 모두 고른 것은? (다툼이 있는 경우 판례에 의함),"｢형법｣상 예비죄에 대한 설명 중 옳지 않은 것만을 모두 고른 것은? (다툼이 있는 경우 판례에 의함)가.형법각칙의 예비죄를 처단하는 규정을 바로 독립된 구성요건 개념에 포함시킬 수는 없다고 하는 것이 죄형법정주의에 부합한다. 나.예비와 미수는 각각 형법각칙에 처벌규정이 있는 경우에만 처벌할 수 있지만 구체적인 법정형까지 규정될 필요는 없다.다.예비죄를 처벌하는 범죄의 예비단계에서 자의로 중지를 하였다면, 예비죄의 중지미수가 성립한다. 라.살인예비죄가 성립하기 위하여는 살인죄를 범할 목적이 있어야 할 뿐만 아니라 살인의 준비에 관한 고의도 있어야 한다.마.정범의 실행 착수 전에 장래의 실행행위를 예상하고 이를 용이하게 하는 행위를 하여 방조한 경우, 정범이 실행의 착수에 이르지 못했다면 방조자는 종범이 성립되지 않지만 정범이 그 실행행위로 나아갔다면 종범이 성립한다. ①가, 나 ②나, 다③가, 다, 마 ④다, 라, 마"
